id,first_name,last_name,email,gender,medical diagnosis,total sales,salary,average grade,costs
26,Phelia,Pasque,ppasquep@dmoz.org,Female,S71049S,53751,76533,4.8,57582
27,Jonah,Paddle,jpaddleq@hhs.gov,Male,T25239,77738,80914,6.0,26435
28,Suzette,Rollin,srollinr@un.org,Genderfluid,T6301,61396,127417,4.7,43713
29,Neala,Barthelme,nbarthelmes@microsoft.com,Female,G9341,15728,26147,0.4,63990
30,Aksel,Taffrey,ataffreyt@wufoo.com,Male,H40049,21692,81265,4.5,77536
31,Josephina,Grob,jgrobu@bandcamp.com,Female,S62665G,40298,68061,6.9,78160
32,Debera,Wynes,dwynesv@baidu.com,Agender,S72032C,96813,17812,1.3,78006
33,Neill,Larman,nlarmanw@intel.com,Male,V870XXD,56360,91128,6.0,28772
34,Dory,Shearstone,dshearstonex@marriott.com,Female,D301,20554,69822,4.7,55215
35,Dionysus,Cowell,dcowelly@marriott.com,Male,S22080D,49501,139422,7.1,52051
36,Reinold,Mattersey,rmatterseyz@friendfeed.com,Male,I7419,35671,79203,3.0,74410
37,Mela,Ellerman,mellerman10@last.fm,Female,T477X,11161,67754,8.5,41531
38,Keefer,Adshad,kadshad11@webmd.com,Male,O88311,39282,90187,7.5,65056
39,Beauregard,Gaven,bgaven12@upenn.edu,Male,S36532,66864,49041,3.3,34546
40,Reilly,Taffie,rtaffie13@quantcast.com,Male,T679XXA,81202,75462,0.6,57937
41,Fina,Orfeur,forfeur14@wufoo.com,Female,T23752D,94349,58357,3.3,79661
42,Clementius,Pycock,cpycock15@auda.org.au,Male,M84331S,69863,71035,6.0,28795
43,Cornelius,Sellars,csellars16@hc360.com,Male,S42413B,86335,10043,6.4,22902
44,Eadie,Whitaker,ewhitaker17@sourceforge.net,Female,H61101,54572,51286,6.4,46151
45,Buddy,Josephoff,bjosephoff18@pinterest.com,Male,O0970,84961,30593,6.0,64369
46,Adriena,Littlemore,alittlemore19@alexa.com,Female,S62526G,54746,61937,0.2,31400
47,Marsiella,Congram,mcongram1a@businessinsider.com,Female,S15222,95488,119941,8.2,41506
48,Darleen,Tailby,dtailby1b@chicagotribune.com,Female,N972,44277,26635,4.3,77415
49,Willard,Blann,wblann1c@acquirethisname.com,Male,M9904,89842,39150,1.9,59348
50,Gerri,Lampard,glampard1d@imageshack.us,Female,J677,51568,111887,4.1,29172
51,Yvor,Baumaier,ybaumaier1e@i2i.jp,Male,S82041S,62048,79778,3.7,28817
52,Henka,Zoppie,hzoppie1f@shop-pro.jp,Female,M12361,24370,91922,3.0,71914
53,Stephie,Caulton,scaulton1g@github.io,Female,S82246P,17686,121229,0.0,67308
54,Kym,Charman,kcharman1h@yandex.ru,Genderfluid,S49019G,46857,30012,0.4,37504
55,Nerta,Finlater,nfinlater1i@harvard.edu,Non-binary,K8080,52855,129866,5.3,67802
56,Harald,Alwen,halwen1j@cnn.com,Male,S66503,64581,79616,2.7,41700
57,Ian,Dumphries,idumphries1k@biglobe.ne.jp,Male,S52233R,90725,85889,2.8,76571
58,Obadiah,Lorkins,olorkins1l@pbs.org,Male,S5401,22697,19534,7.4,73771
59,Krisha,Langley,klangley1m@istockphoto.com,Male,T84114D,40080,141597,4.0,27409
60,Randee,Nancekivell,rnancekivell1n@storify.com,Female,M67972,13172,20181,6.1,58957
61,Kimberlyn,Gatenby,kgatenby1o@tmall.com,Female,S91359D,88175,137670,0.9,47162
62,Berne,Turbill,bturbill1p@marketwatch.com,Male,H6502,86319,58350,3.4,33204
63,Conway,Baddeley,cbaddeley1q@prlog.org,Male,Z5682,65569,23786,8.8,39446
64,Natty,Jorgesen,njorgesen1r@cdbaby.com,Female,I70699,71752,97283,7.8,40956
65,Barnard,Ludlam,bludlam1s@ehow.com,Polygender,F317,79162,35384,3.5,73211
66,Justinn,Digan,jdigan1t@rediff.com,Non-binary,B6989,36676,105791,9.1,49446
67,Langsdon,Beynke,lbeynke1u@ifeng.com,Male,S7290XK,85682,38805,1.0,45429
68,Kylie,Morfield,kmorfield1v@yahoo.com,Female,T465X1,81678,26129,2.3,54345
69,Flossy,Choldcroft,fcholdcroft1w@prweb.com,Polygender,J95860,43419,55198,9.5,34540
70,Virginia,Leafe,vleafe1x@sfgate.com,Female,T4392XA,62434,43119,5.3,34651
71,Loralyn,Hamshaw,lhamshaw1y@cafepress.com,Female,M84361,85882,90440,8.7,63296
72,Berni,Seeger,bseeger1z@dyndns.org,Female,M2505,68810,107646,8.5,40966
73,Gerrie,Presley,gpresley20@desdev.cn,Male,S50319,24588,129989,7.0,72485
74,Erik,Paull,epaull21@reddit.com,Male,S61459,65773,69363,9.9,71755
75,Amory,Rylance,arylance22@nyu.edu,Male,H25043,76698,88604,4.6,56197
76,Jade,Tod,jtod23@blog.com,Female,S59011K,63478,139075,3.8,39489
77,Ainslie,Choules,achoules24@narod.ru,Female,S70359A,51603,145918,8.6,22620
78,Phillie,Blainey,pblainey25@acquirethisname.com,Polygender,H4303,34372,68818,8.6,36579
79,Shauna,Brewitt,sbrewitt26@surveymonkey.com,Female,L102,24046,41372,3.4,21466
80,Marylou,Eastop,meastop27@chron.com,Female,M66251,65324,51262,9.4,63659
81,Stormi,Davidovici,sdavidovici28@cargocollective.com,Female,T7432XD,59381,97544,9.5,32545
82,Tildie,Dempsey,tdempsey29@ft.com,Female,T428X4D,55347,19953,9.8,29828
83,Troy,Addionizio,taddionizio2a@ycombinator.com,Male,S62026,97293,49086,0.3,56685
84,Mata,Puffett,mpuffett2b@trellian.com,Male,M08879,76590,23036,0.1,34055
85,Arin,Loyndon,aloyndon2c@4shared.com,Male,S0421XD,49995,147813,3.8,48355
86,Deloria,Gillebert,dgillebert2d@networkadvertising.org,Female,G44009,78040,127381,6.7,72902
87,Blane,Abbett,babbett2e@addthis.com,Male,S42272K,28933,14892,0.2,36518
88,Fianna,Gavaghan,fgavaghan2f@rambler.ru,Agender,K628,48926,95213,7.8,40587
89,Poppy,Kall,pkall2g@toplist.cz,Polygender,Z6841,65900,142878,6.9,39714
90,Colin,Hirche,chirche2h@nps.gov,Male,H53133,28342,148745,4.3,66537
91,Morgen,O'Kuddyhy,mokuddyhy2i@dedecms.com,Female,P128,12340,91073,2.9,49766
92,Bryant,Charity,bcharity2j@csmonitor.com,Male,S60869D,36568,147447,8.5,43995
93,Corina,Lavell,clavell2k@prlog.org,Female,S52382S,82067,100301,8.4,74039
94,Corinna,Ottee,cottee2l@go.com,Female,S82035A,10182,102617,9.4,38864
95,Jorry,Gapper,jgapper2m@amazonaws.com,Female,D173,63666,46691,4.3,50713
96,Freddie,Chilles,fchilles2n@pagesperso-orange.fr,Male,M7080,36426,110636,2.0,63737
97,Farly,Lebourn,flebourn2o@webs.com,Male,N03,93826,42528,9.3,27360
98,Cherye,Dumbarton,cdumbarton2p@bbc.co.uk,Non-binary,S61521S,27428,63284,9.5,45112
99,Timothy,Landis,tlandis2q@stanford.edu,Male,T458,92297,145577,2.8,46397
100,Malcolm,Dunckley,mdunckley2r@wp.com,Male,H0457,77560,84383,2.2,71262
