id,first_name,last_name,email,gender,medical diagnosis,total sales,salary,average grade,costs
25,Christos,Kennea,ckenneao@time.com,Male,F13929,52472,32522,6.4,50390
26,Erminie,Adiscot,eadiscotp@tiny.cc,Female,S66325S,62242,21179,4.9,24010
27,Lucias,Letch,lletchq@admin.ch,Male,G575,83757,27783,1.0,62540
28,Niccolo,Canedo,ncanedor@mediafire.com,Male,O10011,63318,130659,0.8,22443
29,Cornell,Naul,cnauls@photobucket.com,Male,S329XXA,21671,18350,5.6,34271
30,Godfry,Biagini,gbiaginit@tinyurl.com,Male,I80221,62029,147385,2.2,37002
31,Yorgos,Kenneway,ykennewayu@wiley.com,Male,T41204,68838,145991,9.7,32468
32,Maximilianus,Redmain,mredmainv@hud.gov,Male,V9221XD,80975,130923,3.9,74820
33,Concordia,Bosley,cbosleyw@nasa.gov,Female,S0262,78000,25992,4.2,22007
34,Florella,Reekie,freekiex@addtoany.com,Female,T5293XS,86140,73497,8.9,52245
35,Troy,Arlott,tarlotty@aboutads.info,Male,S82425S,85317,135868,4.3,30918
36,Rocky,Inggall,ringgallz@yahoo.co.jp,Male,S06341A,67437,123243,9.8,50377
37,Arlyne,Le Pine,alepine10@yelp.com,Female,S90229S,80816,131813,5.2,73422
38,Belva,Chicken,bchicken11@tripadvisor.com,Genderqueer,S56301,34656,81999,1.7,71211
39,Magdalena,Merit,mmerit12@craigslist.org,Female,C11,71447,112336,6.8,70540
40,Trudi,Dever,tdever13@wordpress.org,Female,H018,17914,36989,0.5,76656
41,Kev,Glasscoo,kglasscoo14@mit.edu,Male,T43021S,22344,24396,10.0,74407
42,Herby,Stivens,hstivens15@reuters.com,Male,S92223D,52859,42998,4.5,53999
43,Cyrille,Farnish,cfarnish16@apple.com,Male,V549XXS,77296,61589,2.0,67664
44,Sonnie,Streather,sstreather17@tinyurl.com,Female,V543,63179,145847,4.7,71818
45,Benedick,Goodall,bgoodall18@rakuten.co.jp,Male,M352,29567,104377,0.7,35134
46,Ettore,Geaney,egeaney19@seesaa.net,Male,Y72,76624,68366,4.6,22276
47,Bennie,Hurche,bhurche1a@wikimedia.org,Male,S62650B,92510,13720,3.7,60319
48,Ilyssa,Jurek,ijurek1b@rediff.com,Female,S13130D,39846,35876,5.9,22862
49,Skipp,Shemilt,sshemilt1c@ovh.net,Male,K8591,80523,147852,0.3,60975
50,Chaunce,Coulman,ccoulman1d@wp.com,Male,T408X,97744,148870,1.3,60286
51,Orella,Oag,ooag1e@ihg.com,Polygender,S60939D,87605,97993,8.1,39948
52,Elinor,Pigrome,epigrome1f@ucoz.com,Female,M8440XA,17281,50730,0.7,46907
53,Bliss,Richardt,brichardt1g@purevolume.com,Agender,S82426D,62067,107313,1.3,59782
54,Rod,Kirtlan,rkirtlan1h@newyorker.com,Male,S32111B,62782,19489,7.8,24139
55,Aurie,Bushill,abushill1i@hibu.com,Female,V8672XD,10575,103318,8.4,25884
56,Sula,Portwain,sportwain1j@trellian.com,Genderfluid,S72116R,81644,105406,7.5,24304
57,Parker,Fuchs,pfuchs1k@cbslocal.com,Genderqueer,S52501J,50219,12280,4.6,36050
58,Dorey,Tallyn,dtallyn1l@phoca.cz,Female,S34121A,20211,88146,8.1,35562
59,Douglass,Padgett,dpadgett1m@vistaprint.com,Male,T69029A,57207,28474,2.8,27904
60,Alexandr,Rigney,arigney1n@angelfire.com,Male,T632X1,65207,24793,1.0,67894
61,Jennica,Rajchert,jrajchert1o@sbwire.com,Female,M84663,67926,58356,0.7,57948
62,Karole,Basek,kbasek1p@example.com,Female,S8002,91882,40155,3.4,65415
63,Kelley,Adame,kadame1q@artisteer.com,Bigender,M7031,30528,106015,7.5,59724
64,Darryl,Hazeldene,dhazeldene1r@miibeian.gov.cn,Male,T23029D,37993,128443,7.9,26477
65,Murry,Shorland,mshorland1s@cornell.edu,Male,T71122S,35436,122300,6.2,37426
66,Xenia,Novakovic,xnovakovic1t@icq.com,Female,S23153,17995,148469,1.1,41609
67,Emylee,Tirkin,etirkin1u@instagram.com,Female,S72019J,63908,49974,0.3,66578
68,Rockie,Stichel,rstichel1v@unblog.fr,Male,S20141,69828,30118,9.0,34147
69,Fanni,Mooring,fmooring1w@flickr.com,Female,S52355A,35736,39470,9.0,59327
70,Sherman,Bithell,sbithell1x@foxnews.com,Male,W16511,93225,97701,3.8,28956
71,Rockwell,Dmisek,rdmisek1y@shinystat.com,Male,L0212,42974,74647,4.9,76555
72,Tally,Alenov,talenov1z@noaa.gov,Male,I70311,62376,115362,9.5,78008
73,Nelia,O'Conor,noconor20@usnews.com,Female,T24232A,92763,16902,7.5,22123
74,Maurice,MacAne,mmacane21@indiegogo.com,Male,F1918,92963,12623,3.3,31792
75,Jule,Bernholt,jbernholt22@squarespace.com,Non-binary,S52344A,64894,37282,7.8,64722
76,Payton,Cholomin,pcholomin23@weebly.com,Male,S70922D,93909,47716,9.1,70931
77,Kliment,Itzakson,kitzakson24@ocn.ne.jp,Male,W009XXS,19488,47728,4.0,45297
78,Jakie,Saunt,jsaunt25@harvard.edu,Male,T404X6A,80336,125881,4.9,65951
79,Cleavland,Lawlor,clawlor26@blogtalkradio.com,Male,M2586,23950,67410,8.6,78959
80,Brietta,McGinn,bmcginn27@multiply.com,Female,S58119D,34941,25036,9.0,38156
81,Joseito,Mosedill,jmosedill28@etsy.com,Male,T48904S,17636,45457,9.4,64890
82,Camellia,Howson,chowson29@apache.org,Female,T83198S,30073,45081,2.9,21126
83,Duncan,Gorthy,dgorthy2a@diigo.com,Male,P558,85467,118791,6.0,21615
84,Laurent,Matiasek,lmatiasek2b@slashdot.org,Male,S52221A,44045,145535,8.2,71148
85,Cariotta,Redfield,credfield2c@miibeian.gov.cn,Female,M84377P,87034,85342,0.8,30824
86,Leslie,Saurin,lsaurin2d@foxnews.com,Female,S82464F,47114,34485,0.6,76232
87,Lennie,Rosini,lrosini2e@instagram.com,Male,S61203,86061,122487,8.5,43987
88,Pearline,Hazard,phazard2f@youku.com,Polygender,K913,91021,37652,0.8,46993
89,Stanislaw,Knapp,sknapp2g@hc360.com,Male,V0082,28995,141737,1.2,24841
90,Ross,Gerhardt,rgerhardt2h@thetimes.co.uk,Male,Q00,15580,60725,7.5,50011
91,Biron,Burniston,bburniston2i@nps.gov,Male,S63420,92563,115227,8.6,47134
92,Madeline,Soldan,msoldan2j@ow.ly,Female,O98319,82402,79236,9.2,30558
93,Jobye,Cicetti,jcicetti2k@mapy.cz,Genderfluid,R876,65062,109929,9.4,24083
94,Jarrad,Itzhaiek,jitzhaiek2l@google.com,Male,Y07513,62665,65440,0.1,40927
95,Keven,Cordery,kcordery2m@dion.ne.jp,Male,H4042X1,11648,139800,8.4,68401
96,Mackenzie,Pieche,mpieche2n@discuz.net,Male,H2142,46802,61216,0.9,69052
97,Eadith,Sambiedge,esambiedge2o@google.ru,Female,T8362XA,71649,132117,7.2,36140
98,Court,Cale,ccale2p@nps.gov,Male,V5969XA,37922,112879,0.9,65968
99,Carlyle,Lowndsborough,clowndsborough2q@apache.org,Male,H7492,89336,21297,4.4,68224
100,Bernie,Gatch,bgatch2r@163.com,Female,S82255A,40903,98959,4.8,75455
